SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
54,"SODWXQV12A6310F10D",314,"Sleeping With Ghosts","AR6892W1187B9AC71B",,"London England",,"Placebo",0.0,241.52771,10,0.532,108.264,4,0.902,"English Summer Rain",2003
55,"SOHUOAP12A8AE488E9",135122,"Outskirts","ARD842G1187B997376",43.64856,"Toronto Ontario Canada",-79.38533,"Blue Rodeo",0.0,491.12771,7,1.0,119.826,4,0.756,"Floating",1987
56,"SOXLBJT12A8C140925",372309,"Gold","ARYKCQI1187FB3B18F",,"",,"Tesla",0.0,290.29832,7,0.725,150.062,4,0.931,"Caught In A Dream",2004
57,"SORAMLE12AB017C8B0",815863,"Arrivederci","ARHHO3O1187B989413",,"",,"Bob Azzam",0.0,191.84281,10,0.0,137.334,1,0.319,"Auguri Cha Cha",0
58,"SOWTBJW12AC468AC6E",605134,"1942-1952 Jimmy Wakely","ARQGYP71187FB44566",34.31109,"Mineola AR",-94.02978,"Jimmy Wakely",0.0,151.84934,1,0.799,86.186,3,0.929,"Broken-Down Merry-Go-Round",0
59,"SOKEJEJ12A8C13E0D0",163874,"The Way Home","ARC43071187B990240",,"Wisner LA",,"Wayne Watson",0.0,245.21098,7,0.07,117.975,4,0.835,"The Urgency (LP Version)",0
60,"SOZVMJI12AB01808AF",541101,"Whatever Happened To Boredom?","ARNPAGP1241B9C7FD4",,"",,"lextrical",0.0,165.69424,7,0.011,138.331,4,0.127,"Synthetic Dream",0
61,"SOBEBDG12A58A76D60",239740,"All The Good Times","ARI3BMM1187FB4255E",38.8991,"Washington",-77.029,"Alice Stuart",0.0,220.78649,11,0.809,110.382,1,0.192,"Kassie Jones",0
62,"SOBONFF12A6D4F84D8",25811,"Dancing On The Ceiling","ARIK43K1187B9AE54C",,"Beverly Hills CA",,"Lionel Richie",0.0,307.3824,3,0.524,125.197,3,0.211,"Tonight Will Be Alright",1986
63,"SOMUYGI12AB0188633",575792,"Placer & Castigo","ARL7K851187B99ACD2",,"",,"Andy Andy",0.0,226.35057,9,0.205,130.04,4,0.0,"La Culpa",0
64,"SOUQQEA12A8C134B1B",149958,"Cross Currents","ARIG6O41187B988BDD",37.16793,"United States",-95.84502,"Richard Souther",0.0,228.5971,8,0.041,127.756,5,0.579,"High Tide",0
65,"SOILPQQ12AB017E82A",535188,"Panjtan Ka Ghulam","AR1ZHYZ1187FB3C717",,"",,"Faiz Ali Faiz",0.0,599.24853,6,0.06,99.273,4,0.158,"Sohna Nee Sohna Data",0
66,"SOQKKPE12A8C13C2CD",512607,"Northern Downpour","ARL6FF81187FB5A916",,"Las Vegas NV",,"Panic At The Disco",0.0,247.77098,5,0.454,85.157,4,0.0,"Northern Downpour (Album Version)",0
67,"SOEGTAN12A6D4F8726",34505,"Disque Path\xc3\xa9","ARKA2YS1187B9A4060",,"",,"Mich\xc3\xa8le Arnaud",0.0,176.27383,3,0.0,49.262,4,0.0,"Marie D'Aquitaine",0
68,"SORJXPY12AB0182839",331289,"Love Is A Sometimes Thing","AR9EZGO1187B9A401F",36.73112,"West Plains MO",-91.85307,"Jan Howard",0.0,165.98159,1,0.49,86.162,4,1.0,"Bad Seed",0
69,"SOEMLQO12AB01808B6",332859,"Dreamboats & Petticoats 2","ARALP6I1187B989E27",40.86034,"Passaic NJ",-74.12374,"The Shirelles",0.0,159.76444,0,0.603,68.283,4,0.692,"Will You Love Me Tomorrow",1960
70,"SORHXYU12A8C13716B",150516,"Talento","ARAHQDS1187FB55275",,"",,"Maysa",0.0,150.25587,10,0.038,137.673,7,0.415,"Bloco Da Solidao (1996 Digital Remaster)",0
71,"SOIRGRL12AB0186BC2",552899,"Guidum","ARLDW6Z1187FB3F2A0",19.4319,"Mexico City Mexico",-99.13285,"Abraham Laboriel",0.0,368.16934,11,0.252,93.106,4,0.0,"Exchange",1995
72,"SOITEVV12A6D4F5969",79227,"Voices of Angles - Christmas Favorites from the American Boychoir","AR23EC41187FB4805D",40.14323,"New Jersey",-74.72671,"The American Boychoir",0.0,230.26893,2,1.0,0.0,1,0.0,"Stille nacht_ heilige nacht",0
73,"SOWNSZY12AB0180BCF",555209,"Cream Trance Anthems Ibiza 2009","AR8JSAL1187FB3CE7E",,"",,"JDS",0.0,465.60608,1,0.533,134.014,4,0.109,"Nine Ways",0
74,"SOBJYXZ12A8AE45FF1",382970,"The Pink & The Lily","ARY80281187FB3E380",56.65286,"Scotland",-3.99667,"Sandi Thom",0.0,205.21751,4,0.666,82.205,4,0.945,"Wounded Hearts",2008
75,"SOGVRHK12A8AE47FFB",281210,"Once More","ARNILB71187B99EC88",34.05349,"Los Angeles CA",-118.24532,"Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas",0.0,431.64689,11,0.191,106.219,1,0.0,"Estate",0
76,"SOGGYSM12A58A79111",495430,"Harry / Silent Mother Nature","AR0OEYB1187FB4A81E",53.93063,"Yorkshire England",-1.20788,"Catherine Howe",0.0,183.37914,4,0.686,172.337,4,0.0,"Freedom Enough (From Silent Mother Nature)",0
77,"SOGBRIU12A582A214C",530802,"The Last Living American Marxists","ARQCMZ01187B99342C",,"",,"The Secret Life of Teenage Girls",0.0,153.20771,0,0.0,88.935,4,0.777,"Carpe PM",0
78,"SOFOGMR12A8C140FFF",171820,"Coda","ARDIBRT1187B9AF176",,"England",,"Led Zeppelin",0.0,182.09914,1,0.076,210.8,7,0.411,"Poor Tom (Album Version)",1982
79,"SOLCPEB12A58A7BF47",327425,"Greatest Hits","ARSZ6MA1187FB43D29",,"",,"The Notorious B.I.G.",0.0,316.65587,4,0.613,91.69,4,0.825,"Who Shot Ya (Amended Album Version)",2007
80,"SOGJSEF12AB01847D4",663608,"20 Greatest Hits","ARXSPYZ1187B98972A",36.2929,"Salina OK",-95.15261,"Carl Belew",0.0,131.05587,4,0.64,121.563,1,0.0,"Love's Been Good To Me",0
81,"SOCVGQS12A8C13D7DF",216819,"Coastal","ARR2TI31187FB380FE",,"",,"The Field Mice",0.0,316.73424,3,0.356,162.682,4,0.0,"When Morning Comes To Town",1989
82,"SOJBYGW12A8C13A497",264857,"Death ... Is just the beginning Vol.4","ARLSF8H1187B9A76B0",,"Oslo Norway",,"Dimmu Borgir",0.0,282.53995,6,0.34,140.458,3,0.595,"Master Of Disharmony",1996
83,"SOWDEPU12A8C137B14",245279,"Time and Space","AR4K59J1187FB3759B",44.11559,"Oregon",-120.51484,"Soular",0.0,244.45342,6,0.516,146.577,5,1.0,"Everything Changes",0
84,"SOMKMPB12A8C1447D0",754188,"Punk International","ARD3LXU1187B9ABFC5",,"",,"Sex Pistols",0.0,216.60689,9,0.558,145.518,4,0.675,"God Save the Queen (Live)",1988
85,"SONRSQW12A6D4F6D1C",53826,"The B52's","ARVML631187B99E90D",,"Athens GA",,"The B-52's",0.0,261.74649,0,0.427,124.086,4,0.366,"Wig",1986
86,"SOSGQPS12A8AE48538",279702,"Forever","ARXOTQH1187FB57084",,"Fairfax California",,"Chris Brown",0.0,363.59791,1,0.638,139.998,4,0.548,"Forever",0
87,"SOJHKYL12A6D4FA0AC",52141,"Dark Days In Paradise","AR56P361187B9AC4DB",54.5958,"Belfast Northern Ireland",-5.93494,"Gary Moore",0.0,345.93914,2,0.04,153.862,4,0.404,"What Are We Here For",1997
88,"SOKENJQ12AB017EC8C",409251,"Breaks_ Beats & Blondes","ARMG6K31187FB55677",,"",,"Deekline & Wizard",0.0,271.77751,0,0.674,90.648,3,1.0,"Sun Is Shining",2004
89,"SONTBYD12A58A77A29",215830,"Moments","ARBKMHZ11F4C843491",,"",,"Dakis",0.0,172.25098,2,0.558,66.765,1,0.805,"Perasmena Mesanihta",0
90,"SOBNTXB12A8C1428BA",646806,"Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation","ARFUSID1241B9C9462",44.41033,"Genova",8.93889,"Daniela Dess\xc3\xac",0.0,330.65751,2,0.706,140.334,4,0.103,"New Age",0
91,"SOQDTQP12A6D4F793F",23178,"Live In Tokyo","ARDG9Z71187B997023",51.50632,"London England",-0.12714,"Public Image Ltd",0.0,388.28363,0,0.551,132.506,4,0.195,"(This Is Not A) Love Song (Live)",1983
92,"SOJVWBA12AB018C326",755756,"Une petite pause","ARDDHGI126E2B3AA76",,"",,"Pascal Sangla",0.0,243.1473,9,0.847,93.238,4,0.521,"Une petite pause",2010
93,"SOLBIIE12AB0184DFC",558289,"Venus Envy","AR1GYND1187B9A9CD3",38.43773,"Santa Rosa California",-122.71242,"Diesel Boy",0.0,124.15955,11,0.724,133.729,1,0.046,"Cooler Than You",1998
94,"SONIQSB12AB0189829",766687,"End Of The Road - Single","ARC25S11187B993923",,"",,"Bandido",0.0,333.13914,6,0.598,144.812,1,0.091,"End Of The Road (Head Horny\x19s Remix)",0
95,"SOFQGCQ12AB0183609",517634,"Manila Nights","ARWGIOC1187FB4CBEF",37.16793,"United States",-95.84502,"Jim Chappell",0.0,263.94077,0,0.693,76.693,4,0.524,"Still",0
96,"SORHOEV12A81C20F71",275722,"Freddy's Favorites: The Best of A Nightmare On Elm Street","AR1PCLK1187FB5BBFF",40.14323,"New Jersey",-74.72671,"Angelo Badalamenti",0.0,167.3922,4,0.694,139.136,4,0.63,"Taryns Deepest Fear",0
97,"SOYNEII12AB0181DB6",545429,"7 Miles","ARKE8PP1187B997DD4",,"",,"Brixx",0.0,349.12608,11,0.7,138.003,4,0.0,"7 Miles",0
98,"SOEBDBO12AC4688712",686750,"Snapshot","ARZHLNX1187FB4B8E7",40.71455,"NY - New York City",-74.00712,"Ladybug",0.0,341.36771,10,0.432,126.95,4,0.575,"Snapshot",0
99,"SOKIGWD12A6701DE9D",15567,"Things Falling Apart","ARK9TRQ1187B99C095",41.50471,"Cleveland OH",-81.69074,"Nine Inch Nails",0.0,168.56771,7,0.576,130.284,4,0.706,"The Frail",1999
100,"SOFPYXC12A58A7A4B9",179267,"Bitter Suites to Succubi","ARF0W6Z1187B9AC325",,"",,"Cradle Of Filth",0.0,321.35791,2,0.341,193.693,4,0.617,"Summer Dying Fast",1994
101,"SOQCHGV12AC4688FC6",789426,"No Control","AR0GGKI1187FB391D5",,"",,"Eddie",0.0,230.00771,9,0.858,142.024,4,0.966,"No Control",0
102,"SOEVGMZ12A8C1421B5",474726,"Heaven","ARYJSY01187B9B7C65",,"Locust Ridge TN",,"Dolly Parton",0.0,155.21914,7,0.0,114.027,3,1.0,"Letter To Heaven",1971
103,"SOMJPML12A8C13D74E",162273,"Milan Milan","ARTHKKA122BCFCBF58",,"",,"Milan Band",0.0,152.0322,8,0.656,128.598,5,0.197,"Ciao Milan",0
104,"SOLGRUN12A8C140543",120640,"El Fuego De Dentro","ARTB56G11C8A41569D",,"",,"Sven Tasnadi",0.0,570.90567,7,0.792,122.967,4,1.0,"2190 Dias Contigo",0
105,"SOCGURJ12AB0182AEE",364642,"Up Above My Head","AR77FBJ1187FB49D8D",42.33168,"Detroit MI",-83.04792,"Rance Allen Group",0.0,207.12444,7,0.662,111.316,1,0.0,"Heaven is Where The Heart Is",0
106,"SOEXSIN12A8C133B0A",281713,"Snowflakes","ARAEX7Y1187FB42D36",,"Severn MD",,"Toni Braxton Featuring Shaggy",0.0,219.01016,0,0.782,149.94,4,0.128,"Christmas In Jamaica",2001
107,"SOTSMNJ12AB018365E",492999,"The Out Sound From Way In!","ARK2G5U1187FB46B34",,"",,"Perrey And Kingsley",0.0,127.9473,0,0.655,135.78,4,0.087,"Gossippo Perpetuo",2001
108,"SOXCWTT12AC9075756",785362,"Pentagrammaton","ARZEWUR1187FB53DC8",50.45663,"Belgica -- Namur Namur/Ghent East Flanders",4.87137,"Enthroned",0.0,240.74404,2,0.735,135.535,7,0.583,"The Vitalized Shell",2010
109,"SOAFIPD12A8C13A261",298921,"Pianissimo","AR89DTT1187B9A7ED5",37.77916,"California - SF",-122.42005,"Suzanne Ciani",0.0,192.20853,2,0.523,139.189,3,0.418,"Mozart",1989
110,"SOCVDYI12AC4687DDB",605167,"Auralux Reggae Showcase","ARJDMBO1187B9AD118",,"",,"Johnny Osbourne",0.0,215.30077,3,0.445,163.445,4,0.015,"Lend Me Your Chopper",2004
111,"SOEHWGF12A6D4F8B2B",302176,"Essential R&B Hit Selection","AR6PJ8R1187FB5AD70",,"Barranquilla Colombia",,"Shakira Featuring Wyclef Jean",0.0,217.36444,10,0.805,100.023,4,0.937,"Hips Don't Lie (featuring Wyclef Jean)",0
112,"SOEWQYW12AB0183FDE",517150,"Nha Vit\xc3\xb3ria","AREEMIN11F4C848971",52.1082,"Netherlands",5.32986,"Gil Semedo",0.0,285.36118,11,0.321,150.666,5,1.0,"Festa",0
113,"SOFBQIA12AB0182219",512234,"Gira Me Ver\xc3\xa1s Volver","ARBJSO81187B9BA09B",,"",,"Soda Stereo",0.0,225.12281,11,0.0,175.421,1,0.0,"Te Hacen Falta Vitaminas",1984
114,"SOGXFIF12A58A78CC4",696947,"Hanging On (Premiere Performance Plus Track)","AR5LZJD1187FB4C5E5",35.66693," NC",-80.46935,"Britt Nicole",0.0,204.06812,6,0.606,160.165,4,1.0,"Hanging On (Medium Key Performance Track Without Background Vocals)",0
115,"SOOODKC12AB018462F",409813,"Bravo Alayki Rare recording","ARZ507V1187FB4425E",,"",,"Ragheb Alama",0.0,413.36118,7,0.056,191.196,4,0.0,"A'chek Ouyounik (2009 Digital Remaster)",0
116,"SOOZLTC12A6D4FBE91",124344,"20 Suosikkia / Rautalankaklassikot / Kolme kitaraa","AR4CG3B1187FB5B861",,"California - SF",,"The Avengers",0.0,122.72281,10,0.0,192.688,4,0.671,"Juoksuhauta-twist (El\xc3\xa4m\xc3\xa4 juoksuhaudoissa)",0
117,"SOPBKEB12A6D4FD777",177029,"American Songbook - Bacharach","AREYIHC1187B99CE0B",,"",,"Brazilian Tropical Orchestra",0.0,192.44363,5,0.084,236.006,4,0.761,"One Less Bell To Answer",0
118,"SOIPNSZ12A8C144128",477268,"Grim Prospects Remixes - Prospects Are Getting Grimmer","AR3WMW01187B9921F7",,"",,"Schizoid",0.0,166.00771,5,0.441,86.091,3,1.0,"Grim Prospects (Version 2 Remix)",0
119,"SONWQQX12AC3DF6762",776019,"Fire","ARVNDLR1187B99CA1B",35.30914,"Oklahoma",-98.52102,"Dolce; Oscar G.",0.0,525.16526,11,0.386,127.278,4,0.22,"Fire (Oscar G Space Vocal Mix)",0
120,"SODOLVO12B0B80B2F4",440990,"In Your Honor","AR6XPWV1187B9ADAEB",,"Seattle WA",,"Foo Fighters",0.0,117.002,7,0.458,152.127,4,0.651,"Hell",2005
121,"SOJEVZW12A8C133988",193554,"Signify (Special Edition)","ARYO9BU1187B9ADA88",,"",,"Porcupine Tree",0.0,416.80934,6,0.644,124.04,5,0.82,"Waiting",1997
122,"SOHDDHR12AB0183552",517488,"Scarcity","ARBGJLS11F4C83D4B9",,"",,"Xmilk",0.0,123.66322,9,0.138,104.153,4,0.072,"Sense And Trick",0
123,"SOOSYMY12AB01888CD",762519,"Talk To Your Daughter","AR7BMMV1187FB5B2D7",39.15093,"Ukiah CA",-123.2079,"Robben Ford",0.0,203.98975,11,0.236,154.322,4,0.0,"I Got Over It (Album Version)",1988
124,"SOFDTRZ12AB018DD11",762520,"The Hit List","ARB4D891187B9954F7",,"",,"Saafir",0.0,234.762,5,0.172,188.886,4,1.0,"Crawl Before You Ball (Album Version)",1999
125,"SODBMZD12A8C134232",199953,"Mish Mash_ Le Blues European: Musique Slave Et Klezmer","AROI96Z1187B9A5304",,"",,"Mish Mash",0.0,254.32771,2,0.64,152.005,1,0.605,"Kolomeyke",0
126,"SOSEJIQ12AB017E7EB",547104,"In North Carolina","ARBZAIL1187FB5B1C8",42.31256,"Boston MA",-71.08868,"Bob Margolin",0.0,126.51057,11,0.228,110.168,4,0.92,"You Rascal You",0
127,"SOBUWPY12A8C1446C0",329135,"In this Life","ARIOSKN1257509BCE1",,"",,"Cama",0.0,210.36363,1,0.645,155.074,1,0.0,"In This Life",2009
